asin,parent_asin,rating,title_x,text,timestamp,verified_purchase,helpful_vote,which_product,dt,title_y,is_complaint
B007IAE5WY,B085BB7B1M,5.0,Really cleans the dirt,These towels are amazing they really clean the dirt from your skin with very little soap the towels really exfoliate the skin and really leaves me feeling extremely clean these are the same towels that are used in the Asian  bath houses,2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,to me good product,"For me this product works very well, the fabric is l little rough when cleaning my face but all in all I like this towel cloth.",2000000000,True,1,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,skin feels good,love the way these make my skin feel after a shower. really great for reaching those sometimes itchy spot in the middle of your back. Durable and washable pluses all around,2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,Great wash cloths. Will last a long time!,"I love these things. To me they are so much better than a body pouf as those things never seem to dry and I can never get all the soap out of them. These work up a great lather, rinse well, dry quickly, and you can matching wash them!<br />I would recommend not putting them in the dryer though. It doesn't melt but if you use dryer sheets it can coat your wash cloth and make it less effective at lathering and rinsing out.<br />My whole family uses them and I always keep one on hand for guests too. I love the feel of my skin after. It feels smooth and exfoliated. I won't switch for anything!",2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,Very scrubby!,I love these Japanese cleansing cloths.  These are all I use as they really exfoliate your skin to remove all the dead skin cells.,2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,Way better than a loofah,"Holy smokes my skin has never felt so smooth.  Way better than a loofah.  I'm able to really scrub my back with this thing and I think if you are a person who shaves their legs this item is a must have.  If you exfoliate your legs really well (be careful not to go too hard or you will hurt yourself) before shaving you will have amazingly soft and smooth legs.  Originally bought this to help with husbands Kiratosis Pilaris, but it's too soon to tell what effect this will have on it.",2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,Works great,These were a little scratchy but they are meant to exfoliate your skin. Seem to helping with the dry skin.,2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,3.0,Just OK...,"These are an OK exfoliant, but nothing life changing for someone who already exfoliates. I did not see any miraculous results over any other average exfoliating gloves/ towels. These would probably be great for someone who wants a gentler exfoliant that can be used everyday. Personally, I much prefer Italy towels.",2000000000,False,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,it might be too tough on some people but it's just how I like it!,it might be too tough on some people but it's just how I like it!,2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
B007IAE5WY,B085BB7B1M,5.0,A great exfoliating shower scrubber!,A great exfoliating tool...especially after a pool workout.  I appreciate the length of the scarf.....,2000000000,True,0,COMP_1,2033-05-18 03:33:20,Salux Nylon Japanese Beauty Skin Bath Wash Cloth/towel (3) Blue Yellow and Pink,False
